team,activePlayers,overralHeight,averageHeight,seasonStarting,points
Arsenal F.C.,31,5638.9,181.9,2017,63
Brighton & Hove Albion,31,5623.4,181.4,2017,40
Burnley F.C.,22,4001.8,181.9,2017,54
Chelsea F.C.,28,5098.8,182.1,2017,70
Crystal Palace,31,5716.4,184.4,2017,44
Everton F.C.,34,6188,182,2017,49
Leicester City,27,4932.9,182.7,2017,47
Liverpool F.C.,25,4527.5,181.1,2017,75
Manchester City F.C.,25,4497.5,179.9,2017,100
Manchester United F.C.,30,5535,184.5,2017,81
Newcastle United F.C.,28,5087.6,181.7,2017,44
Southampton F.C.,24,4334.4,180.6,2017,36
Tottenham Hotspur F.C.,29,5283.8,182.2,2017,77
AFC Bournemouth,26,4703.4,180.9,2017,44
Swansea City AFC,26,4716.4,181.4,2017,33
Huddersfield Town,25,4580,183.2,2017,37
Stoke City F.C,27,4954.5,183.5,2017,33
Watford,22,4050.2,184.1,2017,41
West Bromwich Albion F.C.,17,3139.9,184.7,2017,31
West Ham United F.C.,24,4396.8,183.2,2017,42
AFC Bournemouth,26,4711.2,181.2,2018,45
Arsenal F.C.,28,5132.4,183.3,2018,70
Brighton & Hove Albion,23,4199.8,182.6,2018,36
Burnley F.C.,24,4384.8,182.7,2018,40
Cardiff City F.C.,23,4179.1,181.7,2018,34
Chelsea F.C.,28,5140.8,183.6,2018,72
Crystal Palace,25,4600,184,2018,49
Everton F.C.,28,5082,181.5,2018,54
Fulham F.C.,24,4370.4,182.1,2018,26
Huddersfield Town,25,4617.5,184.7,2018,16
Leicester City,28,5107.2,182.4,2018,52
Liverpool F.C.,26,4726.8,181.8,2018,97
Manchester City F.C.,26,4672.2,179.7,2018,98
Manchester United F.C.,26,4771,183.5,2018,66
Newcastle United F.C.,24,4389.6,182.9,2018,45
Southampton F.C.,24,4389.6,182.9,2018,39
Tottenham Hotspur F.C.,23,4206.7,182.9,2018,71
Watford,23,4264.2,185.4,2018,50
West Ham United F.C.,25,4567.5,182.7,2018,52
Wolverhampton Wanderers F.C.,25,4585,183.4,2018,57
AFC Bournemouth,29,5318.6,183.4,2019,34
Arsenal F.C.,25,4540,181.6,2019,56
Brighton & Hove Albion,29,5309.9,183.1,2019,41
Burnley F.C.,25,4555,182.2,2019,54
Chelsea F.C.,29,5246.1,180.9,2019,66
Crystal Palace,25,4605,184.2,2019,43
Everton F.C.,25,4555,182.2,2019,49
Leicester City,28,5026,179.5,2019,62
Liverpool F.C.,25,4517.5,180.7,2019,99
Manchester City F.C.,25,4472.5,178.9,2019,81
Manchester United F.C.,28,5076.4,181.3,2019,66
Newcastle United F.C.,25,4535,181.4,2019,44
Norwich City F.C.,26,4695.6,180.6,2019,21
Sheffield United F.C.,26,4742.4,182.4,2019,54
Southampton F.C.,22,3968.8,180.4,2019,52
Tottenham Hotspur F.C.,25,4567.5,182.7,2019,59
Watford,22,4043.6,183.8,2019,34
West Ham United F.C.,27,4919.4,182.2,2019,39
Wolverhampton Wanderers F.C.,26,4729.4,181.9,2019,59
Fulham F.C.,15,2751,183.4,2020,28
Arsenal F.C.,28,5101.6,182.2,2020,61
Aston Villa F.C.,24,4411.2,183.8,2020,55
Chelsea F.C.,25,4552.5,182.1,2020,67
Everton F.C.,23,4225.1,183.7,2020,59
Liverpool F.C.,31,5611,181,2020,69
Manchester City F.C.,25,4527.5,181.1,2020,86
Manchester United F.C.,27,4986.9,184.7,2020,74
Newcastle United F.C.,29,5283.8,182.2,2020,45
Southampton F.C.,24,4360.8,181.7,2020,43
Tottenham Hotspur F.C.,27,4959.9,183.7,2020,41
West Bromwich Albion F.C.,17,3114.4,183.2,2020,62
Burnley F.C.,23,4213.6,183.2,2020,26
Crystal Palace,29,5321.5,183.5,2020,44
Leicester City,27,4903.2,181.6,2020,66
Brighton & Hove Albion,31,5657.5,182.5,2020,41
Leeds United F.C.,29,5280.9,182.1,2020,59
Sheffield United F.C.,27,4919.4,182.2,2020,23
Wolverhampton Wanderers F.C.,24,4353.6,181.4,2020,45
West Ham United F.C.,25,4555,182.2,2020,65
